Id,Rank,RankInten,RankOldAndNew,MovieCd,MovieNm,OpenDt,SalesAmt,SalesShare,SalesInten,SalesChange,SalesAcc,AudiCnt,AudiInten,AudiChange,AudiAcc,ScrnCnt,ShowCnt
1811,1,0,OLD,20193069,"#살아있다",2020-06-24,543848720,63.2,-13043680,-2.3,9956085460,67098,-747,-1.1,1194944,1641,7147
1812,2,0,OLD,20183813,"결백",2020-06-10,115846500,13.5,18573020,19.1,6581823840,14743,2640,21.8,742916,601,1828
1813,3,0,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,74430920,8.7,13408580,22,2579233080,9479,1889,24.9,296920,532,1268
1814,4,0,OLD,20050112,"배트맨 비긴즈",2005-06-24,22660460,2.6,6134580,37.1,5793851160,2820,757,36.7,902295,279,477
1815,5,0,OLD,20193859,"사라진 시간",2020-06-18,18109640,2.1,3514660,24.1,1640899740,2288,467,25.6,184399,374,621
1816,6,0,OLD,20179462,"위대한 쇼맨",2017-12-20,11363440,1.3,1589800,16.3,13262250900,1877,262,16.2,1685574,135,178
1817,7,0,OLD,20209644,"엔딩스 비기닝스",2020-06-24,8439200,1,764680,10,101934960,1077,116,12.1,12429,219,290
1818,8,0,OLD,20196702,"야구소녀",2020-06-18,6831580,0.8,1487220,27.8,258046080,886,195,28.2,29965,91,145
1819,9,0,OLD,20197863,"침입자",2020-06-04,6011640,0.7,914240,17.9,4799281080,767,134,21.2,530659,129,190
1820,10,0,OLD,20178522,"콜 미 바이 유어 네임",2018-03-22,4314840,0.5,853340,24.7,1895253628,537,103,23.7,224881,43,53
1821,1,0,OLD,20193069,"#살아있다",2020-06-24,428624500,56.5,-115224220,-21.2,10384709960,51659,-15439,-23,1246603,1441,6137
1822,2,0,OLD,20183813,"결백",2020-06-10,74603320,9.8,-41243180,-35.6,6656427160,9244,-5499,-37.3,752160,536,1323
1823,3,0,NEW,20196201,"소리꾼",2020-07-01,70504960,9.3,70504960,100,97073960,9110,9110,100,12208,573,1676
1824,4,0,NEW,20081056,"다크 나이트",2008-08-06,53751140,7.1,53751140,100,27843469540,6829,6829,100,4182355,355,603
1825,5,-2,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,45459160,6,-28971760,-38.9,2624692240,5644,-3835,-40.5,302564,425,827
1826,6,5,OLD,20208617,"인베이젼 2020",2020-07-01,30787720,4.1,26161720,565.5,36283720,3985,3471,675.3,4644,338,609
1827,7,-1,OLD,20179462,"위대한 쇼맨",2017-12-20,5780980,0.8,-5582460,-49.1,13268031880,960,-917,-48.9,1686534,90,126
1828,8,0,NEW,20200846,"부산행:익스텐디드",2020-07-01,5904000,0.8,5904000,100,5904000,745,745,100,745,88,190
1829,9,0,NEW,20200083,"해피 디 데이",2020-07-01,5770220,0.8,5770220,100,9626220,728,728,100,1210,132,171
1830,10,-2,OLD,20196702,"야구소녀",2020-06-18,4883200,0.6,-1948380,-28.5,262929280,618,-268,-30.2,30583,62,110
1831,1,0,OLD,20193069,"#살아있다",2020-06-24,368804680,54.8,-59819820,-14,10753514640,44470,-7189,-13.9,1291073,1401,5783
1832,2,0,OLD,20183813,"결백",2020-06-10,66345360,9.9,-8257960,-11.1,6722772520,8172,-1072,-11.6,760332,554,1284
1833,3,0,OLD,20196201,"소리꾼",2020-07-01,55569940,8.3,-14935020,-21.2,152643900,7199,-1911,-21,19407,552,1561
1834,4,0,OLD,20081056,"다크 나이트",2008-08-06,43971120,6.5,-9780020,-18.2,27887440660,5583,-1246,-18.2,4187938,354,573
1835,5,0,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,37205460,5.5,-8253700,-18.2,2661897700,4604,-1040,-18.4,307168,405,746
1836,6,0,OLD,20208617,"인베이젼 2020",2020-07-01,20832160,3.1,-9955560,-32.3,57115880,2710,-1275,-32,7354,339,558
1837,7,0,NEW,20200361,"아무튼, 아담",2020-07-02,10225000,1.5,10225000,100,12409000,1504,1504,100,1816,106,166
1838,8,-1,OLD,20179462,"위대한 쇼맨",2017-12-20,5627580,0.8,-153400,-2.7,13273659460,925,-35,-3.6,1687459,82,116
1839,9,1,OLD,20196702,"야구소녀",2020-06-18,7021440,1,2138240,43.8,269950720,717,99,16,31300,62,83
1840,10,0,NEW,20201841,"부활",2020-07-09,4770000,0.7,4770000,100,5470000,530,530,100,630,2,2
1841,1,0,OLD,20193069,"#살아있다",2020-06-24,467173540,57.9,98368860,26.7,11220688180,51860,7390,16.6,1342933,1444,6066
1842,2,0,OLD,20183813,"결백",2020-06-10,84476540,10.5,18131180,27.3,6807249060,9770,1598,19.6,770102,609,1405
1843,3,0,OLD,20196201,"소리꾼",2020-07-01,63347100,7.8,7777160,14,215991000,7575,376,5.2,26982,535,1569
1844,4,0,OLD,20081056,"다크 나이트",2008-08-06,49098840,6.1,5127720,11.7,27936539500,6250,667,11.9,4194188,355,580
1845,5,0,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,46284840,5.7,9079380,24.4,2708182540,5400,796,17.3,312568,442,819
1846,6,0,OLD,20208617,"인베이젼 2020",2020-07-01,20591360,2.6,-240800,-1.2,77707240,2388,-322,-11.9,9742,339,527
1847,7,0,OLD,20200361,"아무튼, 아담",2020-07-02,7936500,1,-2288500,-22.4,20345500,1138,-366,-24.3,2954,99,159
1848,8,0,OLD,20179462,"위대한 쇼맨",2017-12-20,6317020,0.8,689440,12.3,13279976480,1044,119,12.9,1688503,82,121
1849,9,0,NEW,20200836,"트로이 디렉터스 컷",2020-07-03,6645200,0.8,6645200,100,6645200,757,757,100,757,130,134
1850,10,-1,OLD,20196702,"야구소녀",2020-06-18,4924200,0.6,-2097240,-29.9,274874920,470,-247,-34.4,31770,59,80
1851,1,0,OLD,20193069,"#살아있다",2020-06-24,999636140,59.4,532462600,114,12220324320,110890,59030,113.8,1453823,1508,7244
1852,2,0,OLD,20183813,"결백",2020-06-10,174071280,10.3,89594740,106.1,6981320340,19607,9837,100.7,789709,613,1613
1853,3,2,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,133764280,7.9,87479440,189,2841946820,15568,10168,188.3,328136,588,1297
1854,4,-1,OLD,20196201,"소리꾼",2020-07-01,117090120,7,53743020,84.8,333081120,13869,6294,83.1,40851,571,1668
1855,5,-1,OLD,20081056,"다크 나이트",2008-08-06,82266620,4.9,33167780,67.6,28018806120,10447,4197,67.2,4204635,376,627
1856,6,0,OLD,20208617,"인베이젼 2020",2020-07-01,39604620,2.4,19013260,92.3,117311860,4523,2135,89.4,14265,354,566
1857,7,1,OLD,20179462,"위대한 쇼맨",2017-12-20,12365240,0.7,6048220,95.7,13292341720,2018,974,93.3,1690521,93,142
1858,8,1,OLD,20200836,"트로이 디렉터스 컷",2020-07-03,13448860,0.8,6803660,102.4,20094060,1498,741,97.9,2255,159,171
1859,9,-2,OLD,20200361,"아무튼, 아담",2020-07-02,10287000,0.6,2350500,29.6,30632500,1292,154,13.5,4246,110,163
1860,10,1,OLD,20200846,"부산행:익스텐디드",2020-07-01,6307000,0.4,2677000,73.7,19405000,794,335,73,2441,86,148
1861,1,0,OLD,20193069,"#살아있다",2020-06-24,836820620,57.8,-162815520,-16.3,13057144940,93106,-17784,-16,1546929,1502,7017
1862,2,0,OLD,20183813,"결백",2020-06-10,155321140,10.7,-18750140,-10.8,7136641480,17443,-2164,-11,807152,608,1577
1863,3,0,OLD,20191048,"온워드: 단 하루의 기적",2020-06-17,127146540,8.8,-6617740,-4.9,2969093360,14900,-668,-4.3,343036,597,1307
1864,4,0,OLD,20196201,"소리꾼",2020-07-01,105866540,7.3,-11223580,-9.6,438947660,12566,-1303,-9.4,53417,557,1584
1865,5,0,OLD,20081056,"다크 나이트",2008-08-06,69791440,4.8,-12475180,-15.2,28088597560,8904,-1543,-14.8,4213539,378,620
1866,6,0,OLD,20208617,"인베이젼 2020",2020-07-01,37227280,2.6,-2377340,-6,154539140,4278,-245,-5.4,18543,349,551
1867,7,0,OLD,20179462,"위대한 쇼맨",2017-12-20,10803060,0.7,-1562180,-12.6,13303144780,1784,-234,-11.6,1692305,93,144
1868,8,0,OLD,20200836,"트로이 디렉터스 컷",2020-07-03,10945360,0.8,-2503500,-18.6,31039420,1265,-233,-15.6,3520,149,161
1869,9,0,OLD,20200361,"아무튼, 아담",2020-07-02,9424500,0.7,-862500,-8.4,40057000,1169,-123,-9.5,5415,102,153
1870,10,1,OLD,20196702,"야구소녀",2020-06-18,6686580,0.5,-54020,-0.8,288302100,715,-59,-7.6,33259,66,89
1871,1,0,OLD,20193069,"#살아있다",2020-06-24,246005720,53.8,-590814900,-70.6,13303150660,29429,-63677,-68.4,1576358,1329,5065
1872,2,0,OLD,20183813,"결백",2020-06-10,52914220,11.6,-102406920,-65.9,7189555700,6396,-11047,-63.3,813548,544,1247
1873,3,1,OLD,20196201,"소리꾼",2020-07-01,34185960,7.5,-71680580,-67.7,473133620,4425,-8141,-64.8,57842,485,1174
